Model,Dataset,Samples,MAE,MSE,Pearson_r,Spearman_rho
dpo_final,test_FOR,240,0.53,0.419,0.8759072843644949,0.8812310849740206
dpo_final,test_LIVE,200,0.5269999999999999,0.4688000000000001,0.7740309665779619,0.8092569422773513
dpo_final,test_P501,240,0.7391666666666666,0.8837500000000003,0.7792629838753503,0.812082615808848
sft_full_eval,test_FOR,240,0.42166666666666663,0.2794999999999999,0.8662899945200973,0.8691173490066287
sft_full_eval,test_LIVE,200,0.44599999999999995,0.35,0.749269821927653,0.8338642224807256
sft_full_eval,test_P501,240,0.7149999999999999,0.837083333333333,0.8457408534182906,0.8831855630227349
sft_warm_eval,test_FOR,240,0.375,0.24166666666666667,0.8992273586456929,0.9058856074260518
sft_warm_eval,test_LIVE,200,0.39099999999999996,0.25560000000000005,0.7752174735016937,0.8129862838177484
sft_warm_eval,test_P501,240,0.5783333333333333,0.5619166666666665,0.8887233890257789,0.910550947686505
